Date,Weekly Earnings(£),Annual Growth (%)
01 January 2000,305,
01 February 2000,300,
01 March 2000,311,
01 April 2000,309,
01 May 2000,311,
01 June 2000,311,
01 July 2000,313,
01 August 2000,315,
01 September 2000,317,
01 October 2000,318,
01 November 2000,320,
01 December 2000,323,
01 January 2001,321,5.4
01 February 2001,325,8.3
01 March 2001,326,4.7
01 April 2001,326,5.7
01 May 2001,327,5
01 June 2001,328,5.8
01 July 2001,328,4.9
01 August 2001,331,5.1
01 September 2001,331,4.5
01 October 2001,333,4.7
01 November 2001,334,4.4
01 December 2001,334,3.3
01 January 2002,333,3.5
01 February 2002,334,2.9
01 March 2002,334,2.5
01 April 2002,338,3.6
01 May 2002,339,3.7
01 June 2002,340,3.7
01 July 2002,341,4
01 August 2002,341,3.1
01 September 2002,342,3.3
01 October 2002,342,2.9
01 November 2002,343,2.9
01 December 2002,343,2.6
01 January 2003,339,2
01 February 2003,341,2
01 March 2003,349,4.3
01 April 2003,347,2.7
01 May 2003,348,2.8
01 June 2003,349,2.6
01 July 2003,351,2.9
01 August 2003,352,3.3
01 September 2003,355,3.7
01 October 2003,357,4.1
01 November 2003,357,3.9
01 December 2003,357,4.2
01 January 2004,364,7.4
01 February 2004,352,3.2
01 March 2004,361,3.6
01 April 2004,362,4.2
01 May 2004,363,4.3
01 June 2004,364,4.2
01 July 2004,365,3.8
01 August 2004,367,4.3
01 September 2004,369,4.2
01 October 2004,372,4.2
01 November 2004,372,4.3
01 December 2004,373,4.4
01 January 2005,379,4.1
01 February 2005,371,5.4
01 March 2005,376,4
01 April 2005,379,4.6
01 May 2005,380,4.5
01 June 2005,380,4.4
01 July 2005,383,4.9
01 August 2005,386,5.1
01 September 2005,387,4.9
01 October 2005,388,4.3
01 November 2005,390,4.8
01 December 2005,390,4.5
01 January 2006,391,3.2
01 February 2006,392,5.6
01 March 2006,398,5.9
01 April 2006,395,4.4
01 May 2006,397,4.7
01 June 2006,401,5.5
01 July 2006,401,4.7
01 August 2006,401,3.8
01 September 2006,402,3.8
01 October 2006,405,4.5
01 November 2006,407,4.3
01 December 2006,412,5.8
01 January 2007,415,6
01 February 2007,419,6.8
01 March 2007,417,4.6
01 April 2007,412,4.3
01 May 2007,416,4.7
01 June 2007,418,4.3
01 July 2007,420,4.9
01 August 2007,422,5.2
01 September 2007,424,5.5
01 October 2007,423,4.3
01 November 2007,426,4.7
01 December 2007,426,3.2
01 January 2008,429,3.5
01 February 2008,435,4
01 March 2008,437,4.9
01 April 2008,432,4.8
01 May 2008,434,4.3
01 June 2008,433,3.5
01 July 2008,434,3.4
01 August 2008,435,3.1
01 September 2008,435,2.7
01 October 2008,437,3.5
01 November 2008,436,2.3
01 December 2008,436,2.5
01 January 2009,421,-1.8
01 February 2009,409,-6
01 March 2009,433,-0.9
01 April 2009,438,1.4
01 May 2009,437,0.9
01 June 2009,438,1.2
01 July 2009,437,0.5
01 August 2009,438,0.7
01 September 2009,439,0.9
01 October 2009,439,0.4
01 November 2009,440,0.9
01 December 2009,440,0.9
01 January 2010,439,4.3
01 February 2010,446,9
01 March 2010,441,1.8
01 April 2010,441,0.7
01 May 2010,443,1.2
01 June 2010,442,1
01 July 2010,443,1.4
01 August 2010,445,1.6
01 September 2010,446,1.7
01 October 2010,447,1.8
01 November 2010,448,1.9
01 December 2010,449,2
01 January 2011,458,4.2
01 February 2011,453,1.5
01 March 2011,453,2.7
01 April 2011,451,2.2
01 May 2011,453,2.3
01 June 2011,456,3.1
01 July 2011,456,2.9
01 August 2011,454,2
01 September 2011,454,1.8
01 October 2011,456,2
01 November 2011,457,1.9
01 December 2011,457,1.8
01 January 2012,457,-0.1
01 February 2012,457,0.9
01 March 2012,457,0.9
01 April 2012,460,1.9
01 May 2012,460,1.6
01 June 2012,462,1.3
01 July 2012,463,1.5
01 August 2012,464,2.2
01 September 2012,462,1.7
01 October 2012,462,1.2
01 November 2012,463,1.4
01 December 2012,461,1
01 January 2013,462,1
01 February 2013,462,1.1
01 March 2013,454,-0.7
01 April 2013,477,3.9
01 May 2013,468,1.8
