Date,Wage Growth(%)
01-Jan-00,
01-Feb-00,
01-Mar-00,
01-Apr-00,
01-May-00,
01-Jun-00,
01-Jul-00,
01-Aug-00,
01-Sep-00,
01-Oct-00,
01-Nov-00,
01-Dec-00,
01-Jan-01,5.4
01-Feb-01,8.3
01-Mar-01,4.7
01-Apr-01,5.7
01-May-01,5
01-Jun-01,5.8
01-Jul-01,4.9
01-Aug-01,5.1
01-Sep-01,4.5
01-Oct-01,4.7
01-Nov-01,4.4
01-Dec-01,3.3
01-Jan-02,3.5
01-Feb-02,2.9
01-Mar-02,2.5
01-Apr-02,3.6
01-May-02,3.7
01-Jun-02,3.7
01-Jul-02,4
01-Aug-02,3.1
01-Sep-02,3.3
01-Oct-02,2.9
01-Nov-02,2.9
01-Dec-02,2.6
01-Jan-03,2
01-Feb-03,2
01-Mar-03,4.3
01-Apr-03,2.7
01-May-03,2.8
01-Jun-03,2.6
01-Jul-03,2.9
01-Aug-03,3.3
01-Sep-03,3.7
01-Oct-03,4.1
01-Nov-03,3.9
01-Dec-03,4.2
01-Jan-04,7.4
01-Feb-04,3.2
01-Mar-04,3.6
01-Apr-04,4.2
01-May-04,4.3
01-Jun-04,4.2
01-Jul-04,3.8
01-Aug-04,4.3
01-Sep-04,4.2
01-Oct-04,4.2
01-Nov-04,4.3
01-Dec-04,4.4
01-Jan-05,4.1
01-Feb-05,5.4
01-Mar-05,4
01-Apr-05,4.6
01-May-05,4.5
01-Jun-05,4.4
01-Jul-05,4.9
01-Aug-05,5.1
01-Sep-05,4.9
01-Oct-05,4.3
01-Nov-05,4.8
01-Dec-05,4.5
01-Jan-06,3.2
01-Feb-06,5.6
01-Mar-06,5.9
01-Apr-06,4.4
01-May-06,4.7
01-Jun-06,5.5
01-Jul-06,4.7
01-Aug-06,3.8
01-Sep-06,3.8
01-Oct-06,4.5
01-Nov-06,4.3
01-Dec-06,5.8
01-Jan-07,6
01-Feb-07,6.8
01-Mar-07,4.6
01-Apr-07,4.3
01-May-07,4.7
01-Jun-07,4.3
01-Jul-07,4.9
01-Aug-07,5.2
01-Sep-07,5.5
01-Oct-07,4.3
01-Nov-07,4.7
01-Dec-07,3.2
01-Jan-08,3.5
01-Feb-08,4
01-Mar-08,4.9
01-Apr-08,4.8
01-May-08,4.3
01-Jun-08,3.5
01-Jul-08,3.4
01-Aug-08,3.1
01-Sep-08,2.7
01-Oct-08,3.5
01-Nov-08,2.3
01-Dec-08,2.5
01-Jan-09,-1.8
01-Feb-09,-6
01-Mar-09,-0.9
01-Apr-09,1.4
01-May-09,0.9
01-Jun-09,1.2
01-Jul-09,0.5
01-Aug-09,0.7
01-Sep-09,0.9
01-Oct-09,0.4
01-Nov-09,0.9
01-Dec-09,0.9
01-Jan-10,4.3
01-Feb-10,9
01-Mar-10,1.8
01-Apr-10,0.7
01-May-10,1.2
01-Jun-10,1
01-Jul-10,1.4
01-Aug-10,1.6
01-Sep-10,1.7
01-Oct-10,1.8
01-Nov-10,1.9
01-Dec-10,2
01-Jan-11,4.2
01-Feb-11,1.5
01-Mar-11,2.7
01-Apr-11,2.2
01-May-11,2.3
01-Jun-11,3.1
01-Jul-11,2.9
01-Aug-11,2
01-Sep-11,1.8
01-Oct-11,2
01-Nov-11,1.9
01-Dec-11,1.8
01-Jan-12,-0.1
01-Feb-12,0.9
01-Mar-12,0.9
